"gamename","categoryname","platformname","regionname","place","time","date","video","comment"
"Wheel of Fortune (N64)","Win a Game","Nintendo 64","USA / NTSC",2,325.0,"2020-12-14","https://youtu.be/vdWNgIaZa0c","Played on an N64 with ED64."
"Devil's Crush","TG16","TurboGrafx-16/PC Engine","JPN / NTSC",1,153.0,"2020-12-12","https://youtu.be/H8KYNkXJhdE","Played on a TG-16 with TBED."
"Home Alone (NES)","Any%","Nintendo Entertainment System","",1,1198.0,"2020-12-12","https://youtu.be/UxWCkvZhe8Q","Played on a front-loader with EDN8 as part of Home Alone Together 2020."
"Devil's Crush","TG16","TurboGrafx-16/PC Engine","JPN / NTSC",1,68.0,"2020-12-12","https://youtu.be/m3-GHt7DkWE","Played on a TG-16 with TBED."
"Devil's Crush","TG16","TurboGrafx-16/PC Engine","USA / NTSC",1,1331.0,"2020-12-06","https://www.youtube.com/watch?v=TK4LLfoWgHA&feature=emb_logo","None"
"Portal for the C64","Beat The Game","Web","",1,56.0,"2020-12-01","https://youtu.be/ieXYNie5_DM","Played on archive.org's web VICE emulator."
"Portal for the C64","Beat The Game","Web","",1,87.0,"2020-12-01","https://youtu.be/wZkw6QPLFMY","Played on archive.org's web VICE emulator."
"Portal for the C64","Beat The Game","Web","",1,144.0,"2020-12-01","https://youtu.be/F6iZIe_BQZo","Played on archive.org's web VICE emulator.    Now featuring three out of bounds glitches."
"Lee Trevino's Fighting Golf","Japan Course","Nintendo Entertainment System","USA / NTSC",3,724.0,"2020-11-28","https://youtu.be/Vy4_7dOapQQ","Played on a front-loader with original cart."
"Jaki Crush","25 Million Points","Super Nintendo","JPN / NTSC",1,633.0,"2020-11-26","https://youtu.be/T5tMEf3EXNw","Played on an SNS-001 with SD2SNES."
"Lee Trevino's Fighting Golf","U.S.A. Course","Nintendo Entertainment System","USA / NTSC",4,750.0,"2020-11-25","https://youtu.be/vYH4BzOlvIQ","Played on a front-loader with original cart."
"SimCity (NES)","Any%","Nintendo Entertainment System","USA / NTSC",1,492.833,"2020-11-23","https://youtu.be/VYw3UggRTRg","Played on a front-loader with EDN8."
"SimCity (NES)","Any%","Nintendo Entertainment System","USA / NTSC",1,155.983,"2020-11-23","https://youtu.be/lAhbS01_pzM","Played on a front-loader with EDN8."
"SimCity (NES)","Any%","Nintendo Entertainment System","USA / NTSC",1,53.233,"2020-11-23","https://youtu.be/wuplkSA3djo","Played on a front-loader with EDN8."
"SimCity (NES)","Any%","Nintendo Entertainment System","USA / NTSC",1,82.283,"2020-11-23","https://youtu.be/anMMdJf568o","Played on a front-loader with EDN8."
"Win, Lose or Draw","600 Points Victory","Nintendo Entertainment System","USA / NTSC",2,223.05,"2020-11-12","https://youtu.be/wW_5GdK3Ozc","Played on a front-loader with an EDN8.    mod edit: framecounted to 3:43.050 / stealThunder"
"Jeopardy! (Sega Genesis)","CPU%","Sega Genesis","USA / NTSC",3,1871.0,"2020-11-10","https://youtu.be/buWi11avcxI","Played on a Genesis v2 with original cart."
"Ski or Die","All events","Nintendo Entertainment System","USA / NTSC",1,412.0,"2020-11-10","https://youtu.be/x2GmAtdWx-4","Played on a front-loader with EDN8."
"Shufflepuck Café","Tournament","Nintendo Entertainment System","JPN / NTSC",2,2074.0,"2020-11-10","https://youtu.be/wUQqo6Bjam0","Played on a front-loader with EDN8."
"Last Action Hero (NES)","Any%","Nintendo Entertainment System","USA / NTSC",10,513.0,"2020-11-06","https://youtu.be/oZm8iB4CSmA","Played on a front-loader with an EDN8."
"Fisher-Price: Perfect Fit","Single Player 100%","Nintendo Entertainment System","USA / NTSC",7,215.4,"2020-11-04","https://youtu.be/_06t8F4LTP0","Played on a front-loader with an EDN8."
"Sesame Street ABC","100%","Nintendo Entertainment System","USA / NTSC",4,328.966,"2020-11-01","https://youtu.be/fD7DJehCiEk","Played on a front-loader with an EDN8."
"The Karate Kid","Any%","Nintendo Entertainment System","USA / NTSC",31,284.2,"2020-11-01","https://youtu.be/-YGSCCjdqPE","Played on a front-loader with an EDN8."
"Lunar Pool","Beat 1-5 Stages","Nintendo Entertainment System","",13,367.0,"2020-11-01","https://youtu.be/hPAV4MrNnj0","Played on a front-loader with an EDN8."
"Palamedes","Tournament","Nintendo Entertainment System","USA / NTSC",19,672.0,"2020-10-29","https://youtu.be/XJWKhtF4DPY","Played on a front-loader with an EDN8."
"Magic Darts","301","Nintendo Entertainment System","USA / NTSC",5,24.033,"2020-10-27","https://youtu.be/tdi4Ujvh190","Played on a front-loader with an EDN8."
"Magic Darts","501","Nintendo Entertainment System","USA / NTSC",7,48.467,"2020-10-27","https://youtu.be/AQztsgOUei0","Played on a front-loader with an EDN8."
"Magic Darts","701","Nintendo Entertainment System","USA / NTSC",5,57.833,"2020-10-27","https://youtu.be/TMzQdNC_Bf0","Played on a front-loader with an EDN8."
"Kid Niki: Radical Ninja","Any%","Nintendo Entertainment System","USA / NTSC",11,951.0,"2020-10-26","https://youtu.be/xvKqgQCPo24","Played on a front-loader with an EDN8."
"Where's Waldo?","Easy","Nintendo Entertainment System","",62,134.95,"2020-10-25","https://youtu.be/UtYKFU2Tcqo","Played on a front-loader with an EDN8."
"Metroid Category Extensions (NES)","Crash%","Nintendo Entertainment System","USA / NTSC",7,30.033,"2020-10-25","https://youtu.be/F3Rnu0sp0UY","Played on a front-loader with an EDN8."
"Monopoly (NES)","vs. 1 CPU","Nintendo Entertainment System","USA / NTSC",12,87.0,"2020-10-21","https://youtu.be/GNo__3dDib4","Played on a front-loader with an EDN8."
"North & South","Lvl. 2 Difficulty","Nintendo Entertainment System","USA / NTSC",6,61.667,"2020-10-21","https://youtu.be/1EoAjbhd2nc","Played on a front-loader with an EDN8."
"California Games (NES)","All events","Nintendo Entertainment System","",6,121.0,"2020-10-20","https://youtu.be/T1PE0ZzG54Y","Played on a front-loader with an EDN8."
"Shufflepuck Café","Individual Levels","Nintendo Entertainment System","JPN / NTSC",2,76.583,"2020-10-20","https://youtu.be/JSq3yGR4Ocw","Played on a front-loader with an EDN8."
"Taboo: The Sixth Sense","Any%","Nintendo Entertainment System","USA / NTSC",1,127.65,"2020-10-19","https://youtu.be/5PUB0JKXxpU","Played on a front-loader with EDN8.    s p o o k y    Time Start: 20.433  Time End: 2:28.083  Total Time: 2:07.650  Timed with AvidEmux 2.7.5"
"Wheel of Fortune (Wii)","Solo Win","Wii","USA / NTSC",1,402.0,"2020-10-18","https://www.youtube.com/watch?v=_LgoekbzPfU","Still more time to save.  Odd balance of using Wii Voice to save typing time, but using the remote to avoid voice recognition misfires."
"Endless Zone","Any%","PC","USA / NTSC",1,353.0,"2020-10-17","https://youtu.be/50cv4G4tEDQ","None"
"Rollerball","100k Points","Nintendo Entertainment System","USA / NTSC",1,34.566,"2020-10-13","https://youtu.be/tUkfsAYmPAU","Played on a front-loader with EDN8.    I tried for 3 hours after this to get anything close to this fast.  Table design and physics is just weird.    MOD NOTE: Retimed: 34.566"
"Krazy Ivan","Any%","PlayStation","USA / NTSC",1,1257.0,"2020-09-30","https://youtu.be/o30HgiBLNh0","Played on a SCPH-1001."
"Jeopardy! (SNES)","CPU%","Super Nintendo","USA / NTSC",2,1655.0,"2020-09-28","https://youtu.be/2d15tae9Qkk","Played on an SNS-001 with SD2SNES."
"Barney's Hide & Seek Game","Any% No Controller","Sega Genesis","USA / NTSC",1,549.0,"2020-09-21","https://youtu.be/8zw3DDQm50Q","Played on a Genesis v2.  Splits are wonky.  Frame counted at 9:09.500 in avidemux."
"Kids On Site","Doug%","Sega CD","USA / NTSC",1,357.0,"2020-09-20","https://youtu.be/SgDTXLbGfZE","Played on a Genesis v2 with MegaSD.    Two new time saves in this route that I discovered while fooling around for Trashathon 4."
"The Chessmaster (SNES)","Newcomer 1","Super Nintendo","USA / NTSC",2,13.384,"2020-09-19","https://youtu.be/ombXExIFVMM","Played on BizHawk. Duration measured from pressing A to seeing checkmate using Avidemux."
"Putt & Putter","Master System","Sega Master System","USA / NTSC",1,84.0,"2020-09-16","https://youtu.be/WHP1znApu1M","Played on a Genesis v2 with MegaSD."
"James Pond 2","C.H.E.A.T.","Sega Master System","",3,33.116,"2020-09-15","https://youtu.be/TqGd_U2srPg","Played on BizHawk."
"Soccer","10 Goals","Nintendo Entertainment System","USA / NTSC",16,401.0,"2020-09-13","https://youtu.be/Kl1hQXE9FlY","Played on a front-loader with EDN8."
"Wordtris (GB)","25 Words","Super Game Boy 2","USA / NTSC",4,174.0,"2020-09-13","https://youtu.be/zj-veNmPWjI","None"
"Scrabble Blast!","Words","Game Boy Advance","USA / NTSC",6,33.0,"2020-09-13","https://youtu.be/kAWhwAtCTyk","Played on BizHawk."
"Jeopardy! Sports Edition (GEN)","CPU%","Sega Genesis","USA / NTSC",1,1988.0,"2020-09-13","https://youtu.be/hbCYCyfDYyo","Played on a Genesis v2 with MegaSD."
"Jeopardy! Deluxe Edition (GEN)","CPU%","Sega Genesis","USA / NTSC",3,1974.0,"2020-09-13","https://youtu.be/9E6I34q1BAw","Played on a Genesis v2 with MegaSD."
"World Cup USA '94","Any%","Super Nintendo","USA / NTSC",1,48.0,"2020-09-13","https://youtu.be/Rntn0tDyRYI","Played on an SNS-001 with SD2SNES."
"Jeopardy! Junior Edition","Any%","Nintendo Entertainment System","USA / NTSC",1,837.0,"2020-09-13","https://youtu.be/yjRdKc62JPo","Played on a front-loader with EDN8."
"Minesweeper (Game Boy)","Play Mode","Super Game Boy 2","JPN / NTSC",16,14.517,"2020-09-13","https://youtu.be/zv9M-67PDLA","None"
"The Adventures of Pinocchio","Any%","Game Boy","USA / NTSC",1,1.0,"2020-09-13","https://youtu.be/7BzFubr7chY","None"
"General Chaos","Any%","Sega Genesis","USA / NTSC",2,295.0,"2020-09-12","https://www.youtube.com/watch?v=5Xhdyae4A-8","Played on a Genesis v2 with original cart."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,126.0,"2020-09-10","https://youtu.be/uM5kcK-qxYc","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,144.0,"2020-09-10","https://youtu.be/LjLOqHcS9KQ","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,61.0,"2020-09-10","https://youtu.be/y9dr0br3L8k","Played on a SCPH-1001."
"Wheel of Fortune (1998)","All Stages (PS)","PlayStation","USA / NTSC",1,1362.0,"2020-09-10","https://youtu.be/3tDDYhwVyaY","Played on a SCPH-1001."
"Mr. Driller","500m/2500ft any%","PlayStation","USA / NTSC",16,146.5,"2020-09-10","https://youtu.be/X6ArT6-s8cw","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,56.0,"2020-09-09","https://www.youtube.com/watch?v=7fkqM5ivBro","Played on a SCPH-1001."
"Ultimate Brain Games","PS","PlayStation","USA / NTSC",2,89.0,"2020-09-09","https://youtu.be/e1Kq0e-o-dg","Played on a SCPH-1001."
"Tom and Jerry in House Trap","Softlock%","PlayStation","USA / NTSC",3,1472.0,"2020-09-09","https://youtu.be/2qDk86JX3W4","Played on a SCPH-1001."
"Tom and Jerry in House Trap","Beat The Game","PlayStation","USA / NTSC",9,1759.0,"2020-09-09","https://youtu.be/u-4qqYdMVRo","Played on a SCPH-1001."
"The Weakest Link","Any% Lose","PlayStation","USA / NTSC",8,362.0,"2020-09-07","https://www.youtube.com/watch?v=EaqPwou4FHg","Played on a SCPH-1001."
"The Weakest Link","Any%","PlayStation","USA / NTSC",6,1842.0,"2020-09-07","https://www.youtube.com/watch?v=C7VpWiLP1pw","Played on a SCPH-1001."
"Warlords 2","Any% Knight (Easy)","MS-DOS","",4,1328.0,"2020-08-23","https://www.youtube.com/watch?v=Uw_L5T3KnsQ","Played on DOSBox at 50000 cycles."
"Warlords 2","Any% Knight (Easy)","MS-DOS","",2,64.0,"2020-08-16","https://www.youtube.com/watch?v=M34_kYJCWGc","Played on DOSBox.    Frame counted at 1:04.7"
"Warlords 2","Any% Knight (Easy)","MS-DOS","",4,154.0,"2020-08-16","https://www.youtube.com/watch?v=sks1mBMx3Ao","Played on DOSBox"
"Warlords 2","100% Knight Easy","MS-DOS","",2,11308.0,"2020-08-16","https://www.youtube.com/watch?v=zhfk4ma9LWc","Played on DOSBox"
"Warlords 2","100% Knight Easy","MS-DOS","",2,15516.0,"2020-08-15","https://www.youtube.com/watch?v=pmBqtW2t45M","Played on DOSBox."
"Warlords 2","100% Knight Easy","MS-DOS","",4,716.0,"2020-08-11","https://youtu.be/wUOY6N1a0z4","None"
"Warlords 2","100% Knight Easy","MS-DOS","",2,1538.0,"2020-08-10","https://youtu.be/1wVUVLppTw4","None"
"Warlords 2","100% Knight Easy","MS-DOS","",2,10335.0,"2020-08-10","https://youtu.be/8B9eQtKVWVo","None"
"Lords of Thunder","TG-16 CD Any%, 1CC","TurboGrafx-16 CD-ROM","USA / NTSC",2,1564.0,"2020-08-02","https://youtu.be/MRsfMZeUN9s","Played on BizHawk 2.4.0    ? DBstyle ?"
"Bomb Squad","1 Digit","Intellivision","USA / NTSC",1,91.0,"2020-07-21","https://www.youtube.com/watch?v=GCTrpAQ08VQ","Played on jzintv 1.0"
"Lords of Thunder","Sega CD Any%, 1CC","Sega CD","USA / NTSC",1,1707.0,"2020-07-09","https://youtu.be/g06iPNpq-jI","Played on a Genesis v2 with MegaSD."
"Power Stone","New Game+","Dreamcast","",3,831.0,"2020-07-09","https://youtu.be/yyh3w7uRBLY","Played on a US VA1 Dreamcast."
"Power Stone","New Game+","Dreamcast","",3,606.0,"2020-07-09","https://youtu.be/UHHZToQnYro","Played on a US VA1 Dreamcast.  "
"The Legend of Kage","1-Loop","Nintendo Entertainment System","USA / NTSC",2,432.4,"2020-06-23","https://www.youtube.com/watch?v=ZZerX0gPgVM","Played on a front-loader with an EDN8.    DBstyle"
"Troll Burner","Any %","Nintendo Entertainment System","USA / NTSC",1,91.452,"2020-05-22","https://www.youtube.com/watch?v=6GAbNdZgowk","Played on a front-loader with an EDN8."
"Ninja Spirit (TG-16)","Any%","TurboGrafx-16/PC Engine","USA / NTSC",1,537.0,"2020-05-21","https://www.youtube.com/watch?v=9tmghKj1rIU","Played on a TG-16 with TBED.    Frame counted at 8:57.900  "
"Vegas Dream","$1M","Nintendo Entertainment System","USA / NTSC",1,66.0,"2020-05-10","https://youtu.be/bSmBPpYOjFw","Played on a front-loader with an EDN8."
"Pac-Man Pinball Advance","100 Pac-Dots","Game Boy Advance","USA / NTSC",2,515.0,"2020-05-07","https://youtu.be/uhE9sY4dI5A","Played on BizHawk."
"Spot: The Video Game (GB)","Any%","Super Game Boy 2","USA / NTSC",5,43.0,"2020-05-05","https://youtu.be/dnDUfbbQvdw","Played on an SNS-001 with SGB2 with EDGB X7."
"Spot: The Video Game (GB)","100%","Super Game Boy 2","USA / NTSC",2,220.0,"2020-05-05","https://youtu.be/8Z6Oo8m59XY","Played on an SNS-001 with SGB2 with EDGB X7.    No idea how to time this, so here are the two options:  3:37.700 - Ending at my last input  3:40.100 - Ending at the computer's ""last input""    I chose the more conservative of the two."
"Radar Mission","Any% Game A","Super Game Boy 2","USA / NTSC",1,1326.0,"2020-05-03","https://youtu.be/P-E_DqhqjK0","Played on an SNS-001 with SGB2 with EDGB X7."
"Radar Mission","Any% Game B","Super Game Boy 2","USA / NTSC",2,378.0,"2020-05-03","https://youtu.be/d9w9w2bylD4","Played on an SNS-001 with SGB2 with EDGB X7.    Started time at difficulty selection.  Ended time when the final ""MISSION COMPLETE"" is fully visible."
"Roadster","Race Mode 5","Game Boy","JPN / NTSC",4,331.29,"2020-05-03","https://youtu.be/hCiFKxYKHVQ","Played on an SNS-001 with SGB2 with EDGB X7.    Frame counted in avidemux.  Got good S luck."
"Major League Baseball","Win Game (2P)","Nintendo Entertainment System","",1,558.0,"2020-05-02","https://youtu.be/rhIFlXqpXsw","Played on a front-loader with original cart."
"Yu Yu Hakusho","Beasts of Maze Castle","Super Game Boy 2","JPN / NTSC",2,220.0,"2020-05-02","https://youtu.be/6VVD2bIWjpI","Played on an SNS-001 with SGB2 with EDGB X7."
"Yu Yu Hakusho","Genkai's Tournament","Super Game Boy 2","JPN / NTSC",2,275.0,"2020-05-02","https://youtu.be/srVzNiSvNWE","Played on an SNS-001 with SGB2 with EDGB X7."
"Ishido: The Way of the Stones","1 Win (GB)","Super Game Boy 2","USA / NTSC",1,214.0,"2020-05-01","https://youtu.be/SMNDbPLAwrs","Played on an SNS-001 with an SGB2 with an EDGB X7."
"Tricky Kick","Oberon","TurboGrafx-16/PC Engine","USA / NTSC",1,364.0,"2020-04-27","https://www.youtube.com/watch?v=6k5UuHYCYJw","Played on a TG-16 with a TBED."
"Tricky Kick","Udon","TurboGrafx-16/PC Engine","USA / NTSC",1,586.0,"2020-04-27","https://www.youtube.com/watch?v=smXLSo8XLzY","Played on a TG-16 with a TBED."
"Devil's Crush","Genesis","Sega Genesis","USA / NTSC",1,68.0,"2020-04-17","https://youtu.be/ga3f0sZHows","Played on a Genesis v2 with MegaSD.    MOD: Time corrected and GG! :)"
"Devil's Crush","Genesis","Sega Genesis","USA / NTSC",1,164.0,"2020-04-17","https://youtu.be/ga3f0sZHows","Played on a Genesis v2 with a MegaSD.    MOD: Time corrected and GG! :)"
